trajet,vitesse moyenne le samedi sur 24h 2017,vitesse moyenne sur 24 VS 2017,vitesse moyenne mardi/jeudi 24h 2017,vitesse moyene mardi/jeud HC 2017,vitesse moyenne mardi/jeudi HPM 2017,vitesse moyenne mardi/jeudi HPS 2017,vitesse mediane mardi/jeudi hors VS 24h 2017,vitesse mediane mardi/jeudi hors VS HPM 2017,vitesse mediane mardi/jeudi hors VS HPS 2017,vitesse mediane mardi/jeudi hors VS HC 2017,vitesse mediane samedi hors VS 24h 2017,vitesse mediane samedi hors VS HC 2017,vitesse mediane samedi hors VS HPS 2017,vitesse VS 24h 2017,duree de congestion VS 24h 2017,duree de congestion samedi 24h 2017,duree de congestion mardi\jeudi HVS 24h 2017,vitesse moyenne le samedi sur 24h 2018,vitesse moyenne sur 24 VS 2018,vitesse moyenne mardi/jeudi 24h 2018,vitesse moyene mardi/jeud HC 2018,vitesse moyenne mardi/jeudi HPM 2018,vitesse moyenne mardi/jeudi HPS 2018,vitesse mediane mardi/jeudi hors VS 24h 2018,vitesse mediane mardi/jeudi hors VS HPM 2018,vitesse mediane mardi/jeudi hors VS HPS 2018,vitesse mediane mardi/jeudi hors VS HC 2018,vitesse mediane samedi hors VS 24h 2018,vitesse mediane samedi hors VS HC 2018,vitesse mediane samedi hors VS HPS 2018,vitesse VS 24h 2018,duree de congestion VS 24h 2018,duree de congestion samedi 24h 2018,duree de congestion mardi\jeudi HVS 24h 2018,vitesse moyenne le samedi sur 24h 2019,vitesse moyenne sur 24 VS 2019,vitesse moyenne mardi/jeudi 24h 2019,vitesse moyene mardi/jeud HC 2019,vitesse moyenne mardi/jeudi HPM 2019,vitesse moyenne mardi/jeudi HPS 2019,vitesse mediane mardi/jeudi hors VS 24h 2019,vitesse mediane mardi/jeudi hors VS HPM 2019,vitesse mediane mardi/jeudi hors VS HPS 2019,vitesse mediane mardi/jeudi hors VS HC 2019,vitesse mediane samedi hors VS 24h 2019,vitesse mediane samedi hors VS HC 2019,vitesse mediane samedi hors VS HPS 2019,vitesse VS 24h 2019,duree de congestion VS 24h 2019,duree de congestion samedi 24h 2019,duree de congestion mardi\jeudi HVS 24h 2019
A351A35-EchWolfisheim,93.35101505,93.46557214,92.66785103,92.76760086,93.65109852,84.49970607,94.66229508,94.66229508,94.66229508,94.66229508,94.66229508,94.66229508,94.66229508,94.66229508,0.279047619,0.411111111,0.5890625,93.90740379,93.9204777,93.22307136,92.97352994,94.00920564,87.69782411,94.66229508,94.66229508,94.66229508,94.66229508,94.66229508,94.66229508,94.66229508,94.66229508,0.103389831,0.112765957,0.360674157,97.46289519,97.38903153,96.02661745,96.78258904,97.14284946,85.00050152,97.87118644,97.87118644,91.65714286,97.87118644,100.4243478,100.4243478,97.87118644,100.4243478,0.173181818,0.046808511,0.511578947
A351EchWolfi-A35,95.5263107,94.48042646,90.44177389,94.78689051,55.07813853,87.58036951,94.98,42.21333333,94.98,97.41538462,97.41538462,97.41538462,97.41538462,97.41538462,0.61047619,0.154444444,1.981770833,94.65640909,93.08248318,89.1601322,93.25229515,50.56936588,86.33383534,94.98,35.78533152,94.98,94.98,94.98,94.98,94.98,94.98,0.677542373,0.377659574,2.193258427,93.2018595,92.47704187,88.21299515,92.27417474,48.8154796,85.41140372,94.98,33.77074079,91.91612903,94.98,94.98,94.98,94.98,94.98,0.585454545,0.327659574,1.991052632
ROUTEDEBRUMATHENTREEVILLE,,,,,,,,,,,,,,,,,,32.44494237,31.35009763,30.78325992,25.13476399,24.6961845,22.98398371,30.13215859,24.38502674,22.99159664,25.10091743,32.34042553,26.10687023,26.61478599,32.18823529,1.416525424,0.265957447,1.482022472,31.94536663,31.55366284,30.32220719,25.82054451,23.41912701,22.61395514,29.41935484,23.79130435,22.76206323,25.66604128,31.74013921,26.51162791,26.30769231,31.66666667,0.368636364,0.137234043,1.147368421
AVDURHIN(A-F),25.64638611,26.34135311,24.63992216,22.43024282,24.15594399,16.45350089,25.49291339,24.52727273,15.47857556,22.43140878,27.20672269,22.74660422,20.02639175,27.36,1.481428571,1.919565217,2.797938144,28.28173004,28.09431274,26.81397145,23.11937419,25.96889925,16.69476512,27.71492958,26.66341463,15.49417323,22.82784223,28.93764706,23.42571429,21.7192053,29.45748503,2.389830508,1.574468085,3.714044944,28.74578698,29.6016419,27.45623989,22.22369871,26.38086452,14.683494,27.87195467,27.25429363,13.80884891,21.96160714,29.90516717,21.06809422,18.49398496,31.13544304,3.867272727,4.558510638,5.900526316
AvenuedeColmar(705-713),,,,,,,,,,,,,,,,,,17.25815901,17.39332255,17.2596624,16.18235089,17.03523837,16.31799233,18.03461538,17.58375,16.8972973,16.8972973,18.03461538,16.40466472,16.57382093,18.26883117,0.096186441,0.162765957,0.066292135,17.09527623,17.20728409,16.77184723,15.7015295,16.67284917,14.75912054,17.05090909,17.05090909,15.24878049,16.03076923,17.42043344,17.05090909,16.40466472,18.03461538,0.147272727,0.254255319,0.158421053
ROUTEDESCHIRMECKSORTIEVILLE,29.66887908,30.31463061,28.79551396,26.89629072,28.09159798,13.17768781,29.12869565,28.26835443,12.24789762,26.9060241,29.64424779,25.47376426,22.71050847,31.01666667,1.771428571,1.733333333,3.24040404,29.91712184,30.4940994,29.48431108,27.1100696,28.38519145,17.15268532,29.2558952,28.26835443,16.0277512,26.9060241,29.38421053,25.91731166,24.54065934,30.45272727,1.272649573,0.942391304,2.174719101,27.89059043,27.84865774,27.33757692,26.16361314,26.70781712,15.02428151,27.34530612,26.9060241,14.69210526,25.76769231,27.12388664,25.18646617,22.332,27.57037037,1.544545455,0.858510638,2.411052632
AvenuedeColmar(713-705),,,,,,,,,,,,,,,,,,31.28417502,31.34481492,30.88448335,28.86028949,30.16862728,28.90061504,31.53519553,30.67826087,29.09690722,29.4,32.256,31.01538462,30.67826087,32.256,0.081355932,0.145744681,0.075280899,31.31788649,31.05719991,30.60767513,29.22812179,30.40792473,25.16161196,31.71235955,30.67826087,27.26956522,29.4,32.07272727,30.67826087,29.86666667,32.44137931,0.323636364,0.142553191,0.43
Vigie-SortieElsau,93.61196399,89.10344548,85.45469578,90.16388009,75.30161254,53.57033036,95.79207921,78.02419355,51.19047619,95.79207921,95.79207921,95.79207921,95.79207921,95.79207921,2.328095238,0.418888889,3.796875,94.65080394,92.5857009,88.14193126,93.51851841,80.44184522,52.79036893,97.2361809,88.35616438,43.92741187,97.2361809,97.2361809,97.2361809,97.2361809,97.2361809,1.426694915,0.691489362,3.20505618,93.02150803,88.21825616,84.08693556,88.96018138,69.42575855,51.0394939,95.79207921,73.01886792,48.25436409,94.85294118,97.2361809,95.79207921,95.79207921,95.79207921,3.421363636,1.367021277,4.681578947
VOSGES-FORETNOIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.70619485,28.26267254,26.11567064,20.5817518,21.6486927,19.25084248,26.43287671,21.53571429,20.35443038,21.34513274,29.59509202,24.48730964,24.86597938,29.23636364,0.993181818,0.789361702,3.021578947
A35PLHAGUENAU-VIGIE,98.63117351,95.39910777,92.3328713,96.84672456,95.01472161,52.26589531,98.13417722,98.13417722,45.17176468,100.6831169,100.6831169,100.6831169,99.0788057,100.6831169,2.081428571,0.123333333,2.7890625,98.42911801,96.60448198,94.37510106,97.49219053,93.87956999,66.76566389,99.07476038,97.21128527,67.41391304,99.07476038,99.07476038,99.07476038,99.07476038,99.07476038,0.742372881,0.25106383,1.793820225,98.07316223,94.53179593,92.80743581,95.46560419,90.26197575,63.44803271,99.07476038,95.12392638,65.28505263,97.82460568,99.07476038,99.07476038,97.21128527,99.07476038,1.434545455,0.30106383,2.139473684
